,id,text
0,1451906290830102531,"#SpiderMan2 Fusion Reactor 🤞🏻🙂🔥

#SpiderManNoWayHome https://t.co/7vDhoopivd"
1,1451755872976138252,yo wait what if Peter and Miles fight Venom first before Kraven and Peter develops the spider arms in order to compensate for losing his tendril abilities when he gets rid of the black suit? #SpiderMan2 https://t.co/I2Fw9wMaMT
2,1451752406178488325,Checkout our latest episode! #SpiderMan2 #DCTitans #DoomPatrol #DCStargirl #Batwoman #LegendsOfTomorrow #Supergirl @JFischedick @BIGDADDYCOOL56 #DCFanDome #TheBatman https://t.co/0aT97vXuVu
3,1451748933869445128,"Spiderman Miles Morales Appreciation Post🕷🕸🥰🥵🔥

Those who called it ""DLC"" clearly never played it and they're wrong.

Outstanding work @insomniacgames I hope to see even more improvements to web swinging and gameplay in #Spiderman2 https://t.co/jmEu4lB4xi"
4,1451744923158470657,Marvel Friday: Swan Song (Spider-Man 2) https://t.co/PZoeg0hB9o #SpiderMan #spidermanhomecoming #spidermancosplay #spiderman2 #spiderman2099 #spiderman3 #spidermanmovie #spidermanfan #spidermancomics #spidermanhoco #spidermanps4 #spidermancake #spidermanhomecomingmovie #spid
5,1451696721252212736,@Lindzabop hello Lindsey how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and they approve it is him 2023 #insomniacgames #SpiderManPS5  #Spiderman2 🙏🏼🙏🏼🙏🏼🙏🏼👍🏻💪🏻🕷️🕸️🕷️🕷️🕷️🕷️ https://t.co/SDzsDJgpmj
6,1451627478057955335,Day 41 of asking Insomniac to please add the Captain Universe suit to Spider-Man 2 for either Peter or Miles or both 🙌 #SpiderManPS5 #SpiderMan2 #InsomniacGames https://t.co/XneJ1QkGzw
7,1451609402738413583,@jaysonfitch hello jayson how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and they approve it #Spiderman2 #SpiderManPS5 #insomniacgames 🕷️🕷️🕷️🕷️🙏🏿 https://t.co/pSwSJWpAHV
8,1451607750228774931,@davecrammond hello david how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and they approve it🙏🏿🙏🏿🙏🏿🙏🏿💪🏻💯 #SpiderManPS5  #insomniacgames #Spiderman2 https://t.co/wWOHT9rRwm
9,1451607355444105242,@TheRealSixTuber hello my friend how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and share it is him 2023 #insomniacgames  #SpiderManPS5 #Spiderman2 https://t.co/Uk7gRnZxvH
10,1451605958719848450,Marvel Friday: Epilogue (Spider-Man 2) https://t.co/PZoeg0hB9o #SpiderMan #spidermanhomecoming #spidermancosplay #spiderman2 #spiderman2099 #spiderman3 #spidermanmovie #spidermanfan #spidermancomics #spidermanhoco #spidermanps4 #spidermancake #spidermanhomecomingmovie #spide
11,1451581627575017474,@BMFEazy hello my friend how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and they share it is him 2023 🕷️🕷️🕷️🕷️ #insomniacgames #SpidermanPS5 #Spiderman2 https://t.co/KnOd9A1Aef
12,1451578375294918666,@DrewMaru29 hello drew how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and they approve it is him 2023 #insomniacgames #SpidermanPS5 #Spiderman2 https://t.co/pddLVP1TDC
13,1451577630210334724,I'm going to be so HYPED if there's more information on #Wolverine &amp; #SpiderMan2 👀 https://t.co/KJTkX3t5VA
14,1451552226174963719,@PS5Console I hope they show more of #spiderman2
15,1451502864053018624,Behold my Spider-Man Advanced Suit 2.0 from the upcoming Spider-Man 2 game. Absolutely adore this suit. #spiderman #spiderman2 #PS5 #insomniacgames https://t.co/m0LmBYPXgL
16,1451411985304805378,@brianwyser hello Brian how are you today I want to present you a new suit for Peter Parker is the fusion of spidey and the CAP I hope you like it and they approve it💪🏻🕷️🕷️🕷️🕷️💯 #insomniacgames  #SpidermanPS5  #spiderman2 https://t.co/shvMm1RDcU
17,1451344623431979010,@mrpyo1 hello friend how are you i would like you to share with the community my character spartan warrior Peter Parker captain America💪🏻💯🕷️🕷️🕷️🕷️ #InsomniacGames #SpidermanPS5  #Spiderman2 https://t.co/thSCYk8MqQ
18,1451325149211500546,@DOOSUN_SHIN hello how are you here i send you my final project of my character i hope you like it and you approve it💪🏻💯🕷️🕷️🕷️🕷️ #InsomniacGames #SpidermanPS5 #Spiderman2 https://t.co/pfQAYzFLhx
