,id,lang,text
0,1446193464782344194,en,How the heck do you eat healthy when running from airport to airport? NYC next! #Carnegie #billboard #grammys #kittwakeley #symphonyofsinnersandsaints https://t.co/W0RTvf4JUb
1,1446193384075444224,en,"Legendary #Guitarist and #Grammys nominee @JonFinn appears as husband/wife #bluesy duo with #Performing #RecordingArtist @JuliFinn at @RegentArlington  Great #Guitar Night 11/5, celebrating #Boston’s finest in a slam dunk showcase all under one roof! https://t.co/6G9B3g5X3S https://t.co/wMldRd9EIC"
2,1446188882396123138,en,Even #Adele was upset by #Beyonce's #Grammys snub https://t.co/eXQiBLSUz7
3,1446180310970945541,en,📷 Tbt with Latin Grammy Award Winner @alexandergdz @gentedezona We’re all the way up❤🙏🎵⭐ . . . . . . . #grammys #latin #awards #winner #cuba #venezuela #guyana #reggaeton #pop #star #work #business #grind #street #picoftheday #tbt... https://t.co/kQPG9hrwOm
4,1446174603399909380,en,"FC let's vote 
We are behind 
Grammys: Who Do You Hope Is Nominated for Song &amp; Album of the Year at 2022 ceremony? Vote! https://t.co/jfReZ28dQk #GRAMMYs #Newcastle https://t.co/snOOx4QtSn"
5,1446171651662618625,en,https://t.co/QgKJDLoejV @davido @wizkhalifa @lilbaby4PF @MI_Abaga   need your support please check out my new song #KanyeWest #ExpensivePain #BandcampFriday #MyUniverse #Jemappelle #GRAMMYs #drake #NewMusic #music #DONDA #MEMENTOMORI #LilNasX
6,1446162654448558086,en,"This is the weight each genre and voting bodies have for the final voting to pick the winners

#Grammys https://t.co/78x0YYXo66"
7,1446157006205771776,en,#GRAMMYs an informational thread:
8,1446156881907572738,en,".@Adele says she spoke to Beyoncé after the #Grammys in 2017

— ""They don’t want to support the way that she’s moving things forward with her releases and the things that she’s talking about.” https://t.co/vvEbjzqnTY"
9,1446155234347294725,en,There’s a lemon in it #GRAMMYs
