,id,lang,text
0,1446193738146013187,en,"Goal ⚽️

Republic of Ireland 2-0 Andorra

Mark O'Mahony (60mins)

#football #cork #Ireland #Andorra #u17 #europeanchampionships https://t.co/lVtJTGjh54"
1,1446193483572645898,en,Just hate Maldives behaviour  #football #ticketissue #SAFFChampionship2021 #SAFFChampionship
2,1446193428765741060,en,"Like if you are Excited! Oh Yeah
 #xbox #fashion #football #watchfam #fashion #watchaddict #luxurylifestyle #vanjavas https://t.co/iyalU6LBu3"
3,1446193298553675780,en,Football very much dead now. So sad teams were allowed to do this whilst others folded. #football
4,1446193265305395201,en,Mabrouk 🇸🇦⚽️! One big step towards #Qatar2022. Keep going #SaudiArabia #football https://t.co/sHJkxcFLwc
5,1446193178860834816,en,"🚨 NEW LADIES TEAMS!! 🚨

We’re delighted to welcome another new team to the Brand New and exclusive Rotherham ladies 5-a-side league starting later next month! 

📍Fitzwilliam Centre, S65
#football #ladiesfootball #womensfootball #5asidefootball @SHCFA @OfficialRUFC https://t.co/RvrSanY7ka"
6,1446193126054367254,en,Every NFL team’s MVP after the first 4 weeks of the season https://t.co/T9kIPPMKUB https://t.co/R1cZq96Odx #nfl #football #sports
7,1446193117665759232,en,LB Jerome Baker is brutally honest about the state of the defense https://t.co/JjCHdUUR7W https://t.co/R1cZq96Odx #nfl #football #sports
8,1446192950057263109,en,"Discover and Share your #Best #sports content
Download the Best #app ==&gt; https://t.co/d9gQTtSJkW 
#liga #laliga #laligasantander #football #resumen #goles #highlights #goal #gol #fifa22 #fut #ultimateteam  https://t.co/uzX9QaDMeL https://t.co/4hPOwEVM12"
9,1446192948551602178,en,"Discover and Share your #Best #sports content
Download the Best #app ==&gt; https://t.co/d9gQTtSJkW 
#liga #laliga #laligasantander #football #resumen #goles #highlights #goal #gol #fifa22 #fut #ultimateteam  https://t.co/SFNcONE2ob https://t.co/KFVkrmcZoR"
